8E         ADC A,(HL)
DDCB d 12  LD D,RL (IX+d)
FDCB d 12  LD D,RL (IY+d)
DDCB d 02  LD D,RLC (IX+d)
FDCB d 02  LD D,RLC (IY+d)
DDCB d 1A  LD D,RR (IX+d)
FDCB d 1A  LD D,RR (IY+d)
DDCB d 0A  LD D,RRC (IX+d)
FDCB d 0A  LD D,RRC (IY+d)
DDCB d C2  LD D,SET 0,(IX+d)
FDCB d C2  LD D,SET 0,(IY+d)
DDCB d CA  LD D,SET 1,(IX+d)
FDCB d CA  LD D,SET 1,(IY+d)
DDCB d D2  LD D,SET 2,(IX+d)
FDCB d D2  LD D,SET 2,(IY+d)
DDCB d DA  LD D,SET 3,(IX+d)
FDCB d DA  LD D,SET 3,(IY+d)
DDCB d E2  LD D,SET 4,(IX+d)
FDCB d E2  LD D,SET 4,(IY+d)
DDCB d EA  LD D,SET 5,(IX+d)
FDCB d EA  LD D,SET 5,(IY+d)
DDCB d F2  LD D,SET 6,(IX+d)
FDCB d F2  LD D,SET 6,(IY+d)
DDCB d FA  LD D,SET 7,(IX+d)
FDCB d FA  LD D,SET 7,(IY+d)
DDCB d 22  LD D,SLA (IX+d)
FDCB d 22  LD D,SLA (IY+d)
DDCB d 32  LD D,SLL (IX+d)
FDCB d 32  LD D,SLL (IY+d)
DDCB d 2A  LD D,SRA (IX+d)
FDCB d 2A  LD D,SRA (IY+d)
DDCB d 3A  LD D,SRL (IX+d)
FDCB d 3A  LD D,SRL (IY+d)
ED5B nn    LD DE,(nn)
11 nn      LD DE,nn
5E         LD E,(HL)
DD5E d     LD E,(IX+d)
FD5E d     LD E,(IY+d)
5F         LD E,A
58         LD E,B
59         LD E,C
5A         LD E,D
5B         LD E,E
5C         LD E,H
DD5C       LD E,IXh
DD5D       LD E,IXl
FD5C       LD E,IYh
FD5D       LD E,IYl
5D         LD E,L
1E n       LD E,n
DDCB d 83  LD E,RES 0,(IX+d)
FDCB d 83  LD E,RES 0,(IY+d)
DDCB d 8B  LD E,RES 1,(IX+d)
FDCB d 8B  LD E,RES 1,(IY+d)
DDCB d 93  LD E,RES 2,(IX+d)
FDCB d 93  LD E,RES 2,(IY+d)
DDCB d 9B  LD E,RES 3,(IX+d)
FDCB d 9B  LD E,RES 3,(IY+d)
DDCB d A3  LD E,RES 4,(IX+d)
FDCB d A3  LD E,RES 4,(IY+d)
DDCB d AB  LD E,RES 5,(IX+d)
FDCB d AB  LD E,RES 5,(IY+d)
DDCB d B3  LD E,RES 6,(IX+d)
FDCB d B3  LD E,RES 6,(IY+d)
DDCB d BB  LD E,RES 7,(IX+d)
FDCB d BB  LD E,RES 7,(IY+d)
DDCB d 13  LD E,RL (IX+d)
FDCB d 13  LD E,RL (IY+d)
DDCB d 03  LD E,RLC (IX+d)
FDCB d 03  LD E,RLC (IY+d)
DDCB d 1B  LD E,RR (IX+d)
FDCB d 1B  LD E,RR (IY+d)
DDCB d 0B  LD E,RRC (IX+d)
FDCB d 0B  LD E,RRC (IY+d)
DDCB d C3  LD E,SET 0,(IX+d)
FDCB d C3  LD E,SET 0,(IY+d)
DDCB d CB  LD E,SET 1,(IX+d)
FDCB d CB  LD E,SET 1,(IY+d)
DDCB d D3  LD E,SET 2,(IX+d)
FDCB d D3  LD E,SET 2,(IY+d)
DDCB d DB  LD E,SET 3,(IX+d)
FDCB d DB  LD E,SET 3,(IY+d)
DDCB d E3  LD E,SET 4,(IX+d)
FDCB d E3  LD E,SET 4,(IY+d)
DDCB d EB  LD E,SET 5,(IX+d)
FDCB d EB  LD E,SET 5,(IY+d)
DDCB d F3  LD E,SET 6,(IX+d)
FDCB d F3  LD E,SET 6,(IY+d)
DDCB d FB  LD E,SET 7,(IX+d)
FDCB d FB  LD E,SET 7,(IY+d)
DDCB d 23  LD E,SLA (IX+d)
FDCB d 23  LD E,SLA (IY+d)
DDCB d 33  LD E,SLL (IX+d)
FDCB d 33  LD E,SLL (IY+d)
DDCB d 2B  LD E,SRA (IX+d)
FDCB d 2B  LD E,SRA (IY+d)
DDCB d 3B  LD E,SRL (IX+d)
FDCB d 3B  LD E,SRL (IY+d)
66         LD H,(HL)
DD66 d     LD H,(IX+d)
FD66 d     LD H,(IY+d)
67         LD H,A
60         LD H,B
61         LD H,C
62         LD H,D
63         LD H,E
64         LD H,H
65         LD H,L
26 n       LD H,n
DDCB d 84  LD H,RES 0,(IX+d)
FDCB d 84  LD H,RES 0,(IY+d)
DDCB d 8C  LD H,RES 1,(IX+d)
FDCB d 8C  LD H,RES 1,(IY+d)
DDCB d 94  LD H,RES 2,(IX+d)
FDCB d 94  LD H,RES 2,(IY+d)
DDCB d 9C  LD H,RES 3,(IX+d)
FDCB d 9C  LD H,RES 3,(IY+d)
DDCB d A4  LD H,RES 4,(IX+d)
FDCB d A4  LD H,RES 4,(IY+d)
DDCB d AC  LD H,RES 5,(IX+d)
FDCB d AC  LD H,RES 5,(IY+d)
DDCB d B4  LD H,RES 6,(IX+d)
FDCB d B4  LD H,RES 6,(IY+d)
DDCB d BC  LD H,RES 7,(IX+d)
FDCB d BC  LD H,RES 7,(IY+d)
DDCB d 14  LD H,RL (IX+d)
FDCB d 14  LD H,RL (IY+d)
DDCB d 04  LD H,RLC (IX+d)
FDCB d 04  LD H,RLC (IY+d)
DDCB d 1C  LD H,RR (IX+d)
FDCB d 1C  LD H,RR (IY+d)
DDCB d 0C  LD H,RRC (IX+d)
FDCB d 0C  LD H,RRC (IY+d)
DDCB d C4  LD H,SET 0,(IX+d)
FDCB d C4  LD H,SET 0,(IY+d)
DDCB d CC  LD H,SET 1,(IX+d)
FDCB d CC  LD H,SET 1,(IY+d)
DDCB d D4  LD H,SET 2,(IX+d)
FDCB d D4  LD H,SET 2,(IY+d)
DDCB d DC  LD H,SET 3,(IX+d)
FDCB d DC  LD H,SET 3,(IY+d)
DDCB d E4  LD H,SET 4,(IX+d)
FDCB d E4  LD H,SET 4,(IY+d)
DDCB d EC  LD H,SET 5,(IX+d)
FDCB d EC  LD H,SET 5,(IY+d)
DDCB d F4  LD H,SET 6,(IX+d)
FDCB d F4  LD H,SET 6,(IY+d)
DDCB d FC  LD H,SET 7,(IX+d)
FDCB d FC  LD H,SET 7,(IY+d)
DDCB d 24  LD H,SLA (IX+d)
FDCB d 24  LD H,SLA (IY+d)
DDCB d 34  LD H,SLL (IX+d)
FDCB d 34  LD H,SLL (IY+d)
DDCB d 2C  LD H,SRA (IX+d)
FDCB d 2C  LD H,SRA (IY+d)
DDCB d 3C  LD H,SRL (IX+d)
FDCB d 3C  LD H,SRL (IY+d)
ED6B nn    LD HL,(nn)
2A nn      LD HL,(nn)
21 nn      LD HL,nn
ED47       LD I,A
DD2A nn    LD IX,(nn)
DD21 nn    LD IX,nn
DD67       LD IXh,A
DD60       LD IXh,B
DD61       LD IXh,C
DD62       LD IXh,D
DD63       LD IXh,E
DD64       LD IXh,IXh
